LATITUDE,LONGITUDE
,
41.897046897,-87.729030407
41.954105717,-87.693290369
,
,
,
41.960532229,-87.767097026
41.894989505,-87.761902885
,
42.007635047,-87.784822713
41.902212301,-87.74884541
,
41.784916451,-87.650847915
41.837732675,-87.66589445
41.799315886,-87.602970956
41.872497742,-87.725253192
41.684000795,-87.710347761
41.894228849,-87.625384759
41.658398132,-87.637869792
41.961953631,-87.64607681
41.93105481,-87.640537582
41.743541848,-87.625773241
41.902335916,-87.700404566
41.765776226,-87.660053107
41.990319259,-87.722915939
41.764112418,-87.646956394
41.846476383,-87.68080655
41.854358952,-87.656469009
41.937826892,-87.835928095
41.927572405,-87.761891448
41.842609995,-87.703268415
41.681516116,-87.620771547
41.991038172,-87.753004696
41.860848385,-87.703145754
41.919695361,-87.735149909
41.726272529,-87.554375086
41.691845059,-87.559610907
41.652150634,-87.55946644
41.680884627,-87.559187034
41.853650153,-87.675739479
41.81137922,-87.728755676
41.956156204,-87.768470251
41.962017419,-87.719139777
41.773454317,-87.605924621
41.735449015,-87.680408818
41.975896578,-87.681038711
41.778885845,-87.701489169
41.837077447,-87.704965709
41.782729879,-87.800985756
41.930851315,-87.787755655
41.873698456,-87.70115825
41.91226863,-87.765466307
41.93080279,-87.793086301
41.752019119,-87.552960635
41.988797442,-87.813419669
41.749007692,-87.625919151
41.827464553,-87.623021225
41.883761219,-87.632569093
41.764203195,-87.657488833
41.769638442,-87.727556444
41.81598137,-87.66508193
41.8117083,-87.701501357
41.774275831,-87.575912144
41.751090654,-87.610018477
41.730620129,-87.555272137
41.94842748,-87.744746231
41.937702697,-87.833695353
41.956493813,-87.707946184
41.947137953,-87.66650317
41.736512885,-87.621257044
41.888411626,-87.720846493
41.838411916,-87.608432823
41.783333746,-87.615847138
41.911864861,-87.703371497
41.890044285,-87.738396764
41.984697078,-87.674499284
42.007806625,-87.678332769
41.940442903,-87.638633539
41.821590961,-87.703785802
41.794561157,-87.80048397
41.771411026,-87.605875062
41.810656023,-87.632128109
41.735910258,-87.635593973
41.910282255,-87.702273958
41.883312776,-87.681429645
41.861995495,-87.618419977
42.010280177,-87.675975666
41.895303846,-87.721129104
41.751408629,-87.604191857
41.900958919,-87.619928174
41.721346919,-87.643357177
41.801032685,-87.697873955
41.944952853,-87.825316594
41.827558582,-87.681255711
41.903289796,-87.663183851
41.951719527,-87.647081569
41.721256303,-87.655529385
41.894266545,-87.615299112
41.848553599,-87.732255767
41.877819026,-87.648513205
41.937874715,-87.836225033
41.794214159,-87.659158227
41.900659768,-87.771822606
41.997355512,-87.802986027
41.765151028,-87.655019181
41.972338098,-87.653254579
41.808511597,-87.665117292
41.880853307,-87.62804245
41.917827277,-87.743572098
41.954056714,-87.688614472
41.900287014,-87.619549343
41.937725911,-87.63544851
41.951504118,-87.708096852
41.91766638,-87.689552417
41.728235166,-87.59750133
41.939070409,-87.737097898
41.810772487,-87.588882466
42.014236249,-87.690377592
41.912588886,-87.632657841
41.875298162,-87.716685991
42.005188228,-87.665579861
41.659434298,-87.597853029
41.956953108,-87.748060037
41.966434432,-87.849093905
41.896120925,-87.671021969
41.851305771,-87.73336191
41.928626168,-87.671529359
41.93752937,-87.842901464
41.877868907,-87.725699105
41.896790572,-87.624380655
41.910166786,-87.691104924
41.870611279,-87.62068379
41.875762035,-87.745882074
41.903254515,-87.679825045
41.751194338,-87.605367326
41.887618977,-87.626321288
41.791420282,-87.580147769
41.940355782,-87.836817356
41.91838533,-87.781683017
41.887121417,-87.755173644
41.918712943,-87.746020444
41.766814104,-87.666236841
41.861155069,-87.645050985
41.938825514,-87.755507321
41.896036645,-87.676149433
41.990055251,-87.706571651
41.818985864,-87.619709782
41.774725754,-87.610819123
41.721570706,-87.623873354
41.86841103,-87.732405855
41.751051229,-87.612354658
41.822231085,-87.601992183
41.777745526,-87.784028317
41.967411442,-87.653322963
41.891827102,-87.625516711
41.737790942,-87.658399071
41.978027809,-87.846613227
41.852997312,-87.622312487
42.004157874,-87.709204947
41.936673189,-87.764041888
41.811945224,-87.6895723
41.76736796,-87.569660598
41.775002206,-87.720360025
41.878328534,-87.757471116
41.684498445,-87.540276079
41.893428122,-87.625253332
41.751817899,-87.553044224
41.795979241,-87.663391749
41.969932755,-87.710814905
41.751573266,-87.569944899
41.750750387,-87.634384345
41.725701303,-87.62398762
41.884588372,-87.623272561
41.66132051,-87.641502974
